,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,IEB,1.0u,,0.45,99.0u,RV,2,,,2,2,2
3,ICBO,,0.8u,160.0,10.0u,,4,,,4,4,4
4,ICER,,0.8u,150.0,10.0u,,5,,,5,5,5
5,IEB,,0.8u,5.0,10.0u,,6,,,6,6,6
6,BVCBO,170.0,,100.0u,400.0,,7,,,7,7,7
7,BVCEO,152.0,,30.0m,400.0,,8,,,8,8,8
8,BVEB,6.0,,100.0u,100.0,,9,,,9,9,9
9,BVEB,2.0,,5.0m,100.0,,10,,,10,10,10
10,BVEB,2.0,,15.0m,100.0,,11,,,11,11,11
11,ABSDEL,,2.0,11.0,10.0,,12,,,12,12,12
13,DIVID,,195.0,12.0,13.0,,14,,,14,14,14
15,VFBE,,2.7,8.0,0.0p,,16,,,16,16,16
16,HFE,,3.9k,4.0,0.1,,17,,,17,17,17
17,HFE,,14.9k,4.0,1.0,,18,,,18,18,18
19,HFE,,29.8k,4.0,10.0,,20,,,20,20,20
21,HFE,,19.9k,50.0,1.0,,22,,,22,22,22
23,HFE,,34.9k,20.0,3.5,,24,,,24,24,24
25,VCESAT,,2.2,1.0,1.0m,,26,,,26,26,26
26,VCESAT,,2.2,10.0,10.0m,,27,,,27,27,27
27,VBESAT,,2.6,1.0,1.0m,,28,,,28,28,28
28,VBESAT,,2.6,10.0,10.0m,,29,,,29,29,29
29,BTON,,1.4,1.0,25.0m,,30,,,30,30,30
30,ICBO,,0.4u,140.0,5.0u,,31,,,31,31,31
