ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,2.6,,250.0u,0.0p,,2,3,,2,2,2
ISGS,,1u,25.0,10.0u,,4,,4,4,4,4
ISGS,,1u,25.0,10.0u,RV,5,,5,5,5,5
BVDSS,505,,250.0u,900.0,,6,6,,6,6,6
BVDSS,505,,250.0u,900.0,,8,8,,8,8,8
BVDSS,505,,1.0m,900.0,,10,10,,10,10,10
BVDSS,505,,10.0m,900.0,,12,12,,12,12,12
BVDSS,505,,25.0u,900.0,,14,14,,14,14,14
ABSDEL,,10,8.0,10.0,,18,,18,18,18,18
VTH,2.6,4.4,250.0u,0.0p,,23,24,23,23,23,23
ABSDEL,,0.2,2.0,23.0,,25,,25,25,25,25
BVSGS,35,45,250.0u,200.0,,26,26,27,26,26,26
BVSGS,35,45,250.0u,200.0,RV,28,28,29,28,28,28
BVSGS,40,,10.0m,200.0,,30,30,31,30,30,30
BVSGS,40,,10.0m,200.0,RV,32,32,33,32,32,32
RDON,,2.45,1.0,10.0,,34,,34,34,34,34
RDON,,2.45,1.5,10.0,,36,,36,36,36,36
VFSD,0.43,,50.0u,0.0p,,38,38,,38,38,38
VFSD,0.5,1.2,3.0,0.0p,,39,39,40,39,39,39
IDSS,,0.2u,500.0,1.0u,,41,,41,41,41,41
ISGS,,1u,25.0,10.0u,,42,,42,42,42,42
ISGS,,1u,25.0,10.0u,RV,43,,43,43,43,43
