ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,2,,250.0u,0.0p,,3,4,,3,3,3
ISGS,,1u,25.0,10.0u,,5,,5,5,5,5
ISGS,,1u,25.0,10.0u,RV,6,,6,6,6,6
ISGS,,4u,30.0,10.0u,,7,,7,7,7,7
ISGS,,4u,30.0,10.0u,RV,8,,8,8,8,8
BVDSS,505,,250.0u,900.0,,9,9,,9,9,9
BVDSS,505,,250.0u,900.0,,11,11,,11,11,11
BVDSS,505,,1.0m,900.0,,13,13,,13,13,13
BVDSS,505,,10.0m,900.0,,15,15,,15,15,15
BVDSS,505,,25.0u,900.0,,17,17,,17,17,17
ABSDEL,,5,11.0,13.0,,21,,21,21,21,21
VTH,2.5,3.8,250.0u,0.0p,,26,27,26,26,26,26
ABSDEL,,0.2,3.0,26.0,,28,,28,28,28,28
BVSGS,35,45,250.0u,200.0,,29,29,30,29,29,29
BVSGS,35,45,250.0u,200.0,RV,31,31,32,31,31,31
BVSGS,40,,10.0m,200.0,,33,33,,33,33,33
BVSGS,40,,10.0m,200.0,RV,34,34,,34,34,34
RDON,,1.4,2.5,10.0,,35,,35,35,35,35
VFSD,,0.7,1.0u,0.0p,,37,,37,37,37,37
VFSD,,0.7,5.0u,0.0p,,38,,38,38,38,38
VFSD,,1.3,5.0,0.0p,,39,,40,39,39,39
IDSS,,0.1u,500.0,1.0u,,41,,41,41,41,41
ISGS,,1u,25.0,10.0u,,42,,42,42,42,42
ISGS,,1u,25.0,10.0u,RV,43,,43,43,43,43
