ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,0.3,5,250.0u,0.0p,,2,3,2,2,2,2
BVSGS,35,,10.0m,200.0,,6,6,,6,6,6
BVSGS,35,,10.0m,200.0,RV,8,8,,8,8,8
BVSGS,35,45,250.0u,200.0,,10,10,11,10,10,10
BVSGS,35,45,250.0u,200.0,RV,12,12,13,12,12,12
ISGS,,1u,25.0,10.0u,,14,,14,14,14,14
ISGS,,1u,25.0,10.0u,RV,15,,15,15,15,15
IDSS,,1u,500.0,1.0u,,16,,16,16,16,16
BVDSS,505,,250.0u,900.0,,17,17,,17,17,17
BVDSS,505,,250.0u,900.0,,19,19,,19,19,19
BVDSS,505,,1.0m,900.0,,21,21,,21,21,21
BVDSS,505,,10.0m,900.0,,23,23,,23,23,23
BVDSS,505,,25.0u,900.0,,25,25,,25,25,25
VTH,2.6,4.4,250.0u,0.0p,,27,28,27,27,27,27
ABSDEL,,0.2,2.0,27.0,,29,,29,29,29,29
DIVID,0.8,1.1,21.0,19.0,,30,31,30,30,30,30
DIVID,0.8,1.1,23.0,21.0,,32,33,32,32,32,32
ABSDEL,,10,19.0,17.0,,34,,34,34,34,34
ABSDEL,,20,19.0,25.0,,35,,35,35,35,35
ABSDEL,,10,21.0,19.0,,36,,36,36,36,36
RDON,,1.4,1.0,10.0,,37,,37,37,37,37
RDON,,1.4,2.5,10.0,,39,,39,39,39,39
VFSD,0.35,,50.0u,0.0p,,41,41,,41,41,41
VFSD,0.5,1.3,5.0,0.0p,,42,43,42,42,42,42
IDSS,,1u,500.0,1.0u,,44,,44,44,44,44
ISGS,,1u,25.0,10.0u,,45,,45,45,45,45
ISGS,,1u,25.0,10.0u,RV,46,,46,46,46,46
