ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,3,7,50.0u,0.0p,,2,3,2,2,2,2
ISGS,,100u,40.0,1.0m,,4,,4,4,4,4
ISGS,,100u,40.0,1.0m,RV,5,,5,5,5,5
VTH,4.4,6.6,2.0m,0.0p,,6,7,6,6,6,6
ABSDEL,,1.5,6.0,2.0,,8,,8,8,8,8
ISGS,,90n,20.0,1.0u,,9,,9,9,9,9
ISGS,,90n,20.0,1.0u,RV,10,,10,10,10,10
BVCES,660,,100.0u,990.0,,11,11,,11,11,11
BVCES,660,,250.0u,990.0,,12,12,,12,12,12
BVCES,660,,1.0m,990.0,,13,13,,13,13,13
ABSDEL,,50,13.0,12.0,,14,,14,14,14,14
ICES,,2u,660.0,10.0u,,15,,15,15,15,15
HVDSON,1.21,1.7,20.0,15.0,,16,17,16,16,16,16
VFEC,0.3,,0.1,0.0p,,18,18,,18,18,18
VFEC,0.72,1.4,2.0,0.0p,,19,20,19,19,19,19
HVFEC,1.21,1.89,20.0,0.0p,RV,21,22,21,21,21,21
ICES,,2u,650.0,10.0u,,23,,23,23,23,23
ISGS,,90n,20.0,1.0u,,24,,24,24,24,24
ISGS,,90n,20.0,1.0u,RV,25,,25,25,25,25
