ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,3.95,5.85,2.0m,0.0p,,2,3,2,2,2,2
ISGS,,100u,40.0,1.0m,,4,,4,4,4,4
ISGS,,100u,40.0,1.0m,RV,5,,5,5,5,5
VTH,3.95,5.85,2.0m,0.0p,,6,7,6,6,6,6
ABSDEL,,0.1,2.0,6.0,,8,,8,8,8,8
ISGS,,90n,25.0,1.0u,,9,,9,9,9,9
ISGS,,90n,25.0,1.0u,RV,10,,10,10,10,10
BVCES,670,,250.0u,900.0,,11,11,,11,11,11
BVCES,680,,1.0m,900.0,,13,13,,13,13,13
BVCES,670,,250.0u,900.0,,15,15,,15,15,15
BVCES,670,,250.0u,900.0,,17,17,,17,17,17
ABSDEL,,30,13.0,11.0,,19,,19,19,19,19
ICES,,2u,660.0,10.0u,,20,,20,20,20,20
VDSON,1.45,2.05,15.0,15.0,,21,22,21,21,21,21
VFEC,0.33,0.43,100.0u,0.0p,,23,24,23,23,23,23
VFEC,0.95,1.25,1.5,0.0p,,25,26,25,25,25,25
VFEC,1.5,2.3,15.0,0.0p,,27,28,27,27,27,27
ICES,,2u,650.0,10.0u,,29,,29,29,29,29
ISGS,,90n,20.0,1.0u,,30,,30,30,30,30
ISGS,,90n,20.0,1.0u,RV,31,,31,31,31,31
