ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,5,7,2.0m,0.0p,,2,3,2,2,2,2
ISGS,,100u,40.0,1.0m,,4,,4,4,4,4
ISGS,,100u,40.0,1.0m,RV,5,,5,5,5,5
VTH,5,7,2.0m,0.0p,,6,7,6,6,6,6
ABSDEL,,0.1,2.0,6.0,,8,,8,8,8,8
ISGS,,90n,25.0,1.0u,,9,,9,9,9,9
ISGS,,90n,25.0,1.0u,RV,10,,10,10,10,10
BVCES,610,,250.0u,900.0,,11,11,,11,11,11
BVCES,610,,1.0m,900.0,,12,12,,12,12,12
BVCES,610,,250.0u,900.0,,13,13,,13,13,13
BVCES,610,,250.0u,900.0,,14,14,,14,14,14
ABSDEL,,30,12.0,11.0,,15,,15,15,15,15
ICES,,2u,600.0,10.0u,,16,,16,16,16,16
VDSON,0.6,1.4,1.5,15.0,,17,18,17,17,17,17
VDSON,1.5,1.93,15.0,15.0,,19,20,19,19,19,19
VFEC,0.15,0.55,100.0u,0.0p,,21,22,21,21,21,21
VFEC,0.7,1.3,1.5,0.0p,,23,24,23,23,23,23
VFEC,1.1,2.2,15.0,0.0p,,25,26,25,25,25,25
ICES,,2u,600.0,10.0u,,27,,27,27,27,27
ISGS,,90n,25.0,1.0u,,28,,28,28,28,28
ISGS,,90n,25.0,1.0u,RV,29,,29,29,29,29
