ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
IEB,0.5u,30u,0.45,99.0u,RV,2,2,3,2,2,2
ICBO,,1u,160.0,10.0u,,4,,4,4,4,4
ICER,,1u,150.0,10.0u,,5,,5,5,5,5
IEB,,1u,5.0,10.0u,,6,,6,6,6,6
BVCBO,160,,100.0u,400.0,,7,7,,7,7,7
BVCEO,150,,30.0m,400.0,,8,8,,8,8,8
BVEB,5,,100.0u,100.0,,9,9,,9,9,9
BVEB,1,,5.0m,100.0,,10,10,,10,10,10
BVEB,1,,15.0m,100.0,,11,11,,11,11,11
DIVID,10,200,12.0,13.0,,14,15,14,14,14,14
VFBE,,2.8,8.0,0.0p,,16,,16,16,16,16
HFE,,4k,4.0,0.1,,17,,17,17,17,17
HFE,3k,15k,4.0,1.0,,18,19,18,18,18,18
HFE,6.5k,20k,4.0,10.0,,20,21,20,20,20,20
HFE,2k,17k,50.0,1.0,,22,23,22,22,22,22
HFE,3k,30k,20.0,3.5,,24,25,24,24,24,24
VCESAT,,2.4,1.0,1.0m,,26,,26,26,26,26
VCESAT,,2.4,10.0,10.0m,,27,,27,27,27,27
VBESAT,,2.8,1.0,1.0m,,28,,28,28,28,28
VBESAT,,2.8,10.0,10.0m,,29,,29,29,29,29
BTON,,1.5,1.0,25.0m,,30,,30,30,30,30
ICBO,,0.5u,140.0,5.0u,,31,,31,31,31,31
