ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
IEB,,150u,200.0,200.0u,,6,,6,6,6,6
ICBO,,150u,200.0,200.0u,,7,,7,7,7,7
ICEO,,150u,200.0,200.0u,,8,,8,8,8,8
BVCBO,200,,1.0m,400.0,,9,9,,9,9,9
BVCEO,200,,1.0m,400.0,,11,11,,11,11,11
VFBC,,950m,10.0,0.0p,,13,,13,13,13,13
VFEC,,950m,10.0,0.0p,,15,,15,15,15,15
VFBC,,950m,10.0,0.0p,,17,,17,17,17,17
VFEC,,950m,10.0,0.0p,,19,,19,19,19,19
BVCBO,200,,1.0m,400.0,,23,23,,23,23,23
BVCEO,200,,1.0m,400.0,,25,25,,25,25,25
ICBO,,150u,200.0,200.0u,,29,,29,29,29,29
ICEO,,150u,200.0,200.0u,,30,,30,30,30,30
