ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
IEB,,50u,60.0,100.0u,,6,,6,6,6,6
ICBO,,50u,60.0,100.0u,,7,,7,7,7,7
ICEO,,50u,60.0,100.0u,,8,,8,8,8,8
BVCBO,65,,1.0m,300.0,,9,9,,9,9,9
BVCEO,65,,1.0m,300.0,,11,11,,11,11,11
VFBC,,680m,10.0,0.0p,,13,,13,13,13,13
VFEC,,680m,10.0,0.0p,,15,,15,15,15,15
VFBC,,680m,10.0,0.0p,,17,,17,17,17,17
VFEC,,680m,10.0,0.0p,,19,,19,19,19,19
BVCBO,65,,1.0m,300.0,,23,23,,23,23,23
BVCEO,65,,1.0m,300.0,,25,25,,25,25,25
IEB,,50u,60.0,100.0u,,29,,29,29,29,29
ICBO,,50u,60.0,100.0u,,30,,30,30,30,30
ICEO,,50u,60.0,100.0u,,31,,31,31,31,31
