ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
IEB,,50u,60.0,100.0u,,10,,10,10,10,10
ICBO,,50u,60.0,100.0u,,11,,11,11,11,11
ICEO,,50u,60.0,100.0u,,12,,12,12,12,12
BVCBO,60,,1.0m,150.0,,13,13,,13,13,13
BVCEO,60,,1.0m,150.0,,15,15,,15,15,15
VFBC,,750m,15.0,0.0p,,17,,17,17,17,17
VFEC,,750m,15.0,0.0p,,19,,19,19,19,19
VFBC,,750m,15.0,0.0p,,21,,21,21,21,21
VFEC,,750m,15.0,0.0p,,23,,23,23,23,23
BVCBO,60,,10.0m,150.0,,27,27,,27,27,27
BVCEO,60,,10.0m,150.0,,29,29,,29,29,29
ABSDEL,,5,13.0,27.0,,31,,31,31,31,31
ABSDEL,,5,15.0,29.0,,32,,32,32,32,32
ICBO,,50u,60.0,100.0u,,33,,33,33,33,33
ICEO,,50u,60.0,100.0u,,34,,34,34,34,34
IEB,,50u,60.0,100.0u,,35,,35,35,35,35
ABSDEL,,70u,11.0,33.0,,36,,36,36,36,36
ABSDEL,,70u,12.0,34.0,,37,,37,37,37,37
