ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VFBC,70m,170m,100.0u,0.0p,,4,5,4,4,4,4
VFEC,70m,170m,100.0u,0.0p,,7,8,7,7,7,7
IEB,,100u,120.0,100.0u,,10,,10,10,10,10
ICBO,,100u,120.0,100.0u,,11,,11,11,11,11
ICEO,,100u,120.0,100.0u,,12,,12,12,12,12
BVCBO,125,,1.0m,300.0,,13,13,,13,13,13
BVCEO,125,,1.0m,300.0,,15,15,,15,15,15
VFBC,,500m,1.0,0.0p,,17,,17,17,17,17
VFEC,,500m,1.0,0.0p,,18,,18,18,18,18
VFBC,,660m,10.0,0.0p,,19,,19,19,19,19
VFEC,,660m,10.0,0.0p,,20,,20,20,20,20
VFBC,,850m,20.0,0.0p,,21,,21,21,21,21
VFEC,,850m,20.0,0.0p,,22,,22,22,22,22
VFBC,,850m,20.0,0.0p,,23,,23,23,23,23
VFEC,,850m,20.0,0.0p,,24,,24,24,24,24
ABSDEL,,15m,21.0,23.0,,25,,25,25,25,25
ABSDEL,,15m,22.0,24.0,,26,,26,26,26,26
BVCBO,125,,10.0m,300.0,,27,27,,27,27,27
BVCEO,125,,10.0m,300.0,,29,29,,29,29,29
ABSDEL,,5,13.0,27.0,,31,,31,31,31,31
ABSDEL,,5,15.0,29.0,,32,,32,32,32,32
ICBO,,100u,120.0,100.0u,,33,,33,33,33,33
ABSDEL,,2u,11.0,33.0,,34,,34,34,34,34
ICBO,,100u,123.0,900.0u,,35,,35,35,35,35
DIVID,750.0k,,37.0,36.0,,38,,38,38,38,38
ICEO,,100u,120.0,100.0u,,39,,39,39,39,39
ABSDEL,,2u,12.0,39.0,,40,,40,40,40,40
ICEO,,100u,123.0,900.0u,,41,,41,41,41,41
DIVID,750.0k,,43.0,42.0,,44,,44,44,44,44
