ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VFBC,0.1,1,100.0u,0.0p,,4,5,4,4,4,4
VFEC,0.1,1,100.0u,0.0p,,7,8,7,7,7,7
IEB,,5u,300.0,10.0u,,10,,10,10,10,10
ICBO,,5u,300.0,10.0u,,11,,11,11,11,11
ICEO,,5u,300.0,10.0u,,12,,12,12,12,12
BVCBO,330,,100.0u,700.0,,13,13,,13,13,13
BVCEO,330,,100.0u,700.0,,15,15,,15,15,15
VFBC,1.03,1.3,10.0,0.0p,,17,18,17,17,17,17
VFEC,1.03,1.3,10.0,0.0p,,19,20,19,19,19,19
VFBC,1.03,1.3,10.0,0.0p,,21,22,21,21,21,21
VFEC,1.03,1.3,10.0,0.0p,,23,24,23,23,23,23
ABSDEL,,100m,17.0,21.0,,25,,25,25,25,25
ABSDEL,,100m,19.0,23.0,,26,,26,26,26,26
BVCBO,330,,1.0m,700.0,,27,27,,27,27,27
BVCEO,330,,1.0m,700.0,,29,29,,29,29,29
ABSDEL,,30,13.0,27.0,,31,,31,31,31,31
ABSDEL,,30,15.0,29.0,,32,,32,32,32,32
ICBO,,5u,300.0,10.0u,,33,,33,33,33,33
ICEO,,5u,300.0,10.0u,,34,,34,34,34,34
