NO,ITEM,Min,Min_Unit,Max,Max_Unit,Bias1,Bias1_Unit,Bias2,Bias2_Unit,Bias3,Bias3_Unit
8,BVCB,95,V,250,V,10,uA,300,V,0,
9,BVCE,40,V,,,12,mA,300,V,0,
7,BVEB,6,V,,,10,uA,30,V,0,
10,VFBE,,,1.4,V,50,mA,0,,0,
4,ICB,,,10,nA,60,V,0,,0,
5,ICEX,,,10,nA,60,V,-3,V,0,
22,ICE2,,,39,nA,40,V,0,,0,
21,IEB,,,10,nA,6,V,0,,0,
11,HFE,35,,,,10,V,100,uA,0,
12,HFE,50,,,,10,V,1,mA,0,
13,HFE,75,,,,10,V,10,mA,0,
14,HFE,100,,300,,10,V,150,mA,0,
15,HFE,40,,,,10,V,500,mA,0,
17,VCESAT,,,281,mV,150,mA,15,mA,0,
18,VCESAT,,,936,mV,500,mA,50,mA,0,
19,VBESAT,,,1.144,V,150,mA,15,mA,0,
20,VBESAT,,,1.872,V,500,mA,50,mA,0,
